sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,delta_mu
1000,0.05,0,0,20,0,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,0.07,1.5000000000000001e-4,3.663475485325233e-4,20,8.191780219091254e-5,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,0.1,0.008,0.005015764621355562,20,0.001121559065248953,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,0.15,0.46595,0.047630678967944276,20,0.010650543598679292,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,0.18,0.84095,0.04358473296199509,20,0.009745842568419677,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,0.2,0.95815,0.014042323244579692,20,0.0031399589336905597,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,NA,0.49369999999999997,0.018513437509578092,20,0.004139730476861103,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.01
1000,NA,0.8068,0.012076946285338301,20,0.0027004872854630014,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.02
1000,NA,0.9257500000000001,0.010228314673133176,20,0.0022871206904384322,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.03
1000,NA,0.98385,0.0038013155617496455,20,8.500000000000006e-4,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.05
1000,NA,0.5622,0.010118248236153348,20,0.002262509086925623,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.01
1000,NA,0.8585,0.009023361492901583,20,0.0020176849683681925,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.02
1000,NA,0.9528,0.007060639601264709,20,0.0015788070113054897,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.03
1000,NA,0.9917,0.002903718124640964,20,6.492911114195402e-4,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.05
1000,0.05,9.999999999999999e-5,3.0779350562554615e-4,20,6.882472016116851e-5,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,0.07,2.5e-4,4.442616583193192e-4,20,9.933992677987827e-5,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,0.1,0.0092,0.00515649819976799,20,0.0011530280500536515,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,0.15,0.48805,0.05914075538381651,20,0.013224274927890037,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,0.18,0.8693,0.027923014465528372,20,0.00624377584816314,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,0.2,0.96455,0.014474932960484712,20,0.0032366934069396093,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,NA,0.49145,0.01844044468010465,20,0.004123408784003836,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.01
1000,NA,0.8136,0.014640966318410853,20,0.0032738195944251496,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.02
1000,NA,0.92805,0.008738752169141998,20,0.0019540443888725247,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.03
1000,NA,0.98375,0.0031768074010172405,20,7.103557300098984e-4,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.05
1000,NA,0.57125,0.019941691318230214,20,0.004459097737388015,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.01
