sample_size,dm,Total_name,Total_tests,Level,Model,target_power,mdes_effect,achieved_power_at_mdes,max_tested_effect,achieved_power_at_max,n1_prop
900,1000,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.03,0.9167000000000001,0.05,0.98275,0.25
1000,1000,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.02,0.81215,0.05,0.98595,0.25
1100,1000,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.02,0.83165,0.05,0.98925,0.25
900,1000,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8459,0.05,0.9898,0.5
1000,1000,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.86215,0.05,0.99255,0.5
1100,1000,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.877,0.05,0.99265,0.5
900,1000,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.2,0.9146000000000001,0.2,0.9146000000000001,NA
1000,1000,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.8557,0.2,0.9583999999999999,NA
1100,1000,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.9119,0.2,0.98095,NA
900,1000,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.03,0.9136500000000001,0.05,0.98295,0.25
1000,1000,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.02,0.81525,0.05,0.98605,0.25
1100,1000,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.02,0.8239,0.05,0.98685,0.25
900,1000,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.84075,0.05,0.99,0.5
1000,1000,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.85865,0.05,0.9907,0.5
1100,1000,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.87085,0.05,0.9928,0.5
900,1000,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.2,0.9105,0.2,0.9105,NA
1000,1000,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.84675,0.2,0.9569,NA
1100,1000,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.909,0.2,0.97915,NA
900,1000,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.88635,0.05,0.99385,0.25
1000,1000,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.9023,0.05,0.9952,0.25
1100,1000,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.9085000000000001,0.05,0.9961,0.25
900,1000,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.92035,0.05,0.996,0.5
1000,1000,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.9267000000000001,0.05,0.9969,0.5
1100,1000,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.9396,0.05,0.9972,0.5
900,1000,Region_100K,100000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.8432,0.2,0.99535,NA
1000,1000,Region_100K,100000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.9005500000000001,0.2,0.99825,NA
1100,1000,Region_100K,100000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.9361,0.2,0.9991,NA
900,1000,Region_500K,500000,Region,Binary (delta; 25_75),0.8,0.02,0.85905,0.05,0.9904,0.25
1000,1000,Region_500K,500000,Region,Binary (delta; 25_75),0.8,0.02,0.8714999999999999,0.05,0.9924499999999999,0.25
1100,1000,Region_500K,500000,Region,Binary (delta; 25_75),0.8,0.02,0.88345,0.05,0.99305,0.25
900,1000,Region_500K,500000,Region,Binary (delta; 50_50),0.8,0.02,0.89845,0.05,0.9947,0.5
1000,1000,Region_500K,500000,Region,Binary (delta; 50_50),0.8,0.02,0.90805,0.05,0.9966,0.5
1100,1000,Region_500K,500000,Region,Binary (delta; 50_50),0.8,0.02,0.9215500000000001,0.05,0.99635,0.5
900,1000,Region_500K,500000,Region,Continuous (rho; Pearson correlation),0.8,0.18,0.9446,0.2,0.98665,NA
1000,1000,Region_500K,500000,Region,Continuous (rho; Pearson correlation),0.8,0.18,0.9718,0.2,0.9951,NA
1100,1000,Region_500K,500000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.8585,0.2,0.99765,NA
