sample_size,delta_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,n1_prop
900,0.01,0.4617,0.013715530958504083,20,0.0030668859570717978,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1000,0.01,0.487,0.017474793877257366,20,0.003907482700234458,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1100,0.01,0.51065,0.019513220889276196,20,0.004363288836839047,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
900,0.02,0.7931,0.014639168800102504,20,0.0032734176571123227,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1000,0.02,0.81525,0.011285178915635052,20,0.002523442719360734,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1100,0.02,0.8239,0.014392615065409481,20,0.003218286566024318,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
900,0.03,0.9136500000000001,0.014904167555630746,20,0.0033326731802437223,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1000,0.03,0.9257500000000001,0.011391940826280363,20,0.0025473154083218014,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1100,0.03,0.9349500000000001,0.0078168172281912,20,0.001747893468992701,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
900,0.05,0.98295,0.003899730085126679,20,8.720061564244295e-4,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1000,0.05,0.98605,0.0030860466961026905,20,6.900610194224251e-4,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
1100,0.05,0.98685,0.003048295468480362,20,6.816195883026657e-4,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.25
900,0.01,0.5327500000000001,0.017127616972535755,20,0.0038298515843169095,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1000,0.01,0.56225,0.021358777315685737,20,0.004775967799415379,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1100,0.01,0.5801999999999999,0.016507095762923155,20,0.0036910988236994926,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
900,0.02,0.84075,0.011552511688623809,20,0.0025832201446623717,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1000,0.02,0.85865,0.01080582201749059,20,0.002416255258387288,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1100,0.02,0.87085,0.012600229738924783,20,0.002817497022835024,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
900,0.03,0.9408,0.008420526299341041,20,0.001882886921165131,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1000,0.03,0.94785,0.007686454250652138,20,0.0017187434210400386,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
1100,0.03,0.95455,0.005462551938811253,20,0.0012214637465805232,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.5
