sample_size,delta_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,n1_prop
900,0.01,0.55825,0.015134050141459472,20,0.0033840764891193685,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1000,0.01,0.58114999999999994,0.012478507839270573,20,0.002790279178637302,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1100,0.01,0.6049,0.014549009732986182,20,0.0032532574768263166,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
900,0.02,0.85905,0.010806796107323545,20,0.0024164730714955557,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1000,0.02,0.8714999999999999,0.00983281295084555,20,0.0021986838168130945,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1100,0.02,0.88345,0.010200490184299976,20,0.0022808989455914102,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
900,0.03,0.9482499999999999,0.0073260530049664915,20,0.0016381552525871678,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1000,0.03,0.95605,0.006345118305893875,20,0.0014188115857257009,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1100,0.03,0.96205,0.006886103473854547,20,0.0015397795467636212,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
900,0.05,0.9904,0.00323468049345478,20,7.232965468857451e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1000,0.05,0.9924499999999999,0.0026252819397462636,20,5.870308877375152e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1100,0.05,0.99305,0.003363503812207868,20,7.52102316667648e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
900,0.01,0.62375,0.015365288974280902,20,0.0034357830640420113,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1000,0.01,0.6529,0.018549790749280863,20,0.0041478593083788765,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1100,0.01,0.6793,0.014334720455115794,20,0.003205340937609564,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
900,0.02,0.89845,0.009133368549042118,20,0.0020422832939216797,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1000,0.02,0.90805,0.011250614018331353,20,0.002515713773360097,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1100,0.02,0.9215500000000001,0.01035412452778322,20,0.0023152526291621185,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
900,0.03,0.9652999999999999,0.006705064857019816,20,0.0014992980813841217,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1000,0.03,0.9713999999999999,0.0052655783907823205,20,0.001177419122264322,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1100,0.03,0.97555,0.004706937768644789,20,0.0010525032816550925,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
900,0.05,0.9947,0.0018381913307436355,20,4.110320771193568e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1000,0.05,0.9966,0.00153554379189983,20,3.433580301115811e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
1100,0.05,0.99635,0.0021095023109729007,20,4.716990566028306e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.5
900,0.01,0.60935,0.010683361387050238,20,0.002388872228964077,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1000,0.01,0.6335,0.017379661434531683,20,0.003886210439354435,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1100,0.01,0.66105,0.013371119702749786,20,0.0029898732590635303,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
900,0.02,0.88635,0.01109895680256768,20,0.0024818021889875044,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1000,0.02,0.9023,0.010568573075023206,20,0.002363204782092587,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1100,0.02,0.9085000000000001,0.00919668132363089,20,0.002056440460704141,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
900,0.03,0.96155,0.006500809666171557,20,0.0014536252322347315,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1000,0.03,0.96855,0.006336818062552752,20,0.0014169555948916467,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1100,0.03,0.97055,0.004628004003091572,20,0.0010348531551053902,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
900,0.05,0.99385,0.002207046132634965,20,4.935105182049799e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1000,0.05,0.9952,0.0022849622823099196,20,5.109330989268046e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
1100,0.05,0.9961,0.0018609561775433747,20,4.1612245161351535e-4,Region,Binary (delta; 25_75),Region_100K,100000,1000,0.25
900,0.01,0.6788000000000001,0.013414838602713088,20,0.0029996491022854757,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1000,0.01,0.71015,0.017020962308128672,20,0.003806002876343743,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1100,0.01,0.7283999999999999,0.012428320799477985,20,0.0027790570153807307,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
900,0.02,0.92035,0.010609206528194979,20,0.002372290698437851,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1000,0.02,0.9267000000000001,0.0062920166627409985,20,0.001406937697345024,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1100,0.02,0.9396,0.00817827674552012,20,0.0018287182741788734,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
900,0.03,0.97575,0.004951076437981632,20,0.001107094347712445,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
1000,0.03,0.981,0.005231483637805973,20,0.0011697953037312044,Region,Binary (delta; 50_50),Region_100K,100000,1000,0.5
