sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm
900,0.05,1.5000000000000001e-4,3.6634754853252327e-4,20,8.191780219091253e-5,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.05,9.999999999999999e-5,3.077935056255461e-4,20,6.88247201611685e-5,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.05,2.5e-4,4.4426165831931924e-4,20,9.933992677987827e-5,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.1,0.06570000000000001,0.027088743049466138,20,0.006057227088363123,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.1,0.10675,0.022383911045306865,20,0.005005194669961452,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.1,0.15845,0.022236705075878015,20,0.0049722784145277855,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.15,0.7231,0.030355611637631955,20,0.006787721112032876,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.15,0.7831,0.03832533860186192,20,0.008569806237446,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.15,0.8585,0.02731010994601008,20,0.006106726231227164,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.18,0.9446,0.017875004600661874,20,0.003996972538520143,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.18,0.9718,0.007756830606158141,20,0.0017344800525320502,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.18,0.98325,0.0058568448484612795,20,0.0013096303214828874,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.2,0.98665,0.005499042978938297,20,0.0012296233912098976,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1000,0.2,0.9951,0.0034625819389886717,20,7.7425685932417e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
1100,0.2,0.99765,0.0016944180805158306,20,3.788834010338109e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,1000
900,0.05,6.000000000000001e-4,0.0012732056517228264,20,2.846974386589162e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.05,5.5e-4,8.870412083230167e-4,20,1.9834844406538173e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.05,3.999999999999999e-4,0.001187655806953123,20,2.65567911821955e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
900,0.1,0.1816,0.026440399710331637,20,0.005912253110456729,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.1,0.2431,0.04134183557150133,20,0.009244315465249585,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.1,0.3322,0.0413656353689108,20,0.009249637261735414,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
900,0.15,0.8432,0.03313227080085295,20,0.00740860097596386,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.15,0.9005500000000001,0.02259360645473803,20,0.005052083988967226,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.15,0.9361,0.010472520432566626,20,0.0023417267582974475,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
900,0.18,0.9727,0.007363494593708822,20,0.001646527446348512,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.18,0.98875,0.004689012913744554,20,0.001048495162250718,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.18,0.99455,0.0032359005904970205,20,7.235693688783047e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
900,0.2,0.99535,0.0018994459025837276,20,4.2472901577606583e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1000,0.2,0.99825,0.0015174424466672112,20,3.393104462691483e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
1100,0.2,0.9991,0.0012096106376585998,20,2.704771612111496e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,1000
